,index,mechanism,action,drugA,drugB
170168,170168,The therapeutic efficacy,increase,Nateglinide,Acetazolamide
170169,170169,The therapeutic efficacy,increase,Nateglinide,Bumetanide
170175,170175,The therapeutic efficacy,increase,Nateglinide,Diazoxide
170180,170180,the excretion rate which could result in a higher serum level,decrease,Etodolac,Nateglinide
170182,170182,the excretion rate which could result in a higher serum level,decrease,Naproxen,Nateglinide
170184,170184,the excretion rate which could result in a higher serum level,decrease,Meloxicam,Nateglinide
170186,170186,the excretion rate which could result in a higher serum level,decrease,Ketoprofen,Nateglinide
170187,170187,the excretion rate which could result in a higher serum level,decrease,Ibuprofen,Nateglinide
170188,170188,the excretion rate which could result in a higher serum level,decrease,Ceftriaxone,Nateglinide
170189,170189,the excretion rate which could result in a higher serum level,decrease,Lumiracoxib,Nateglinide
170190,170190,the excretion rate which could result in a higher serum level,decrease,Cefazolin,Nateglinide
170194,170194,the excretion rate which could result in a higher serum level,decrease,Etoricoxib,Nateglinide
170199,170199,the excretion rate which could result in a higher serum level,decrease,Lornoxicam,Nateglinide
170200,170200,the excretion rate which could result in a higher serum level,decrease,Aceclofenac,Nateglinide
170206,170206,the excretion rate which could result in a higher serum level,decrease,Morniflumate,Nateglinide
170219,170219,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Diazepam
170220,170220,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Dobutamine
170222,170222,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Dacarbazine
170224,170224,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Amantadine
170225,170225,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Almotriptan
170226,170226,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Azacitidine
170227,170227,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Maprotiline
170230,170230,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Methyldopa
170232,170232,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Dopamine
170233,170233,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Azathioprine
170235,170235,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Levobupivacaine
170236,170236,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Metyrapone
170237,170237,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Guanfacine
170242,170242,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Memantine
170243,170243,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Lubiprostone
170246,170246,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Clonazepam
170248,170248,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Doxacurium
170250,170250,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Cilostazol
170251,170251,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Ifosfamide
170252,170252,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Fomepizole
170253,170253,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Estazolam
170254,170254,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Ketamine
170256,170256,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Hydralazine
170260,170260,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Bromazepam
170265,170265,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Ezogabine
170267,170267,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Brivaracetam
170271,170271,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Nalmefene
170272,170272,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Droxidopa
170273,170273,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Levocetirizine
170278,170278,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Methyltestosterone
170284,170284,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Macitentan
170292,170292,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Blonanserin
170300,170300,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Baricitinib
170302,170302,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Deutetrabenazine
170314,170314,the excretion rate which could result in a higher serum level,decrease,Apalutamide,Nateglinide
170315,170315,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Naloxone
170316,170316,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Colchicine
170317,170317,the excretion rate which could result in a higher serum level,decrease,Nateglinide,Estradiol
170324,170324,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Conivaptan,Nateglinide
170326,170326,the excretion rate which could result in a lower serum level and potentially a reduction in efficacy,increase,Efonidipine,Nateglinide
170329,170329,The metabolism,decrease,Nateglinide,Clarithromycin
170336,170336,The metabolism,decrease,Cannabidiol,Nateglinide
170337,170337,The metabolism,decrease,Nabiximols,Nateglinide
170339,170339,The metabolism,decrease,Nateglinide,Crizotinib
170341,170341,The metabolism,decrease,Nateglinide,Clofazimine
170345,170345,The metabolism,increase,Nateglinide,Icotinib
170346,170346,The metabolism,increase,Nateglinide,Modafinil
170351,170351,The metabolism,decrease,Dutasteride,Nateglinide
170354,170354,The metabolism,decrease,Irinotecan,Nateglinide
170355,170355,The metabolism,decrease,Disulfiram,Nateglinide
170358,170358,The metabolism,decrease,Buprenorphine,Nateglinide
170361,170361,The metabolism,decrease,Domperidone,Nateglinide
170362,170362,The metabolism,decrease,Finasteride,Nateglinide
170364,170364,The metabolism,decrease,Lapatinib,Nateglinide
170368,170368,The metabolism,decrease,Ambrisentan,Nateglinide
170370,170370,The metabolism,decrease,Axitinib,Nateglinide
170372,170372,The metabolism,decrease,Cabazitaxel,Nateglinide
170373,170373,The metabolism,decrease,Ivacaftor,Nateglinide
170376,170376,The metabolism,decrease,Ibrutinib,Nateglinide
170391,170391,The metabolism,decrease,Alfentanil,Nateglinide
170392,170392,The metabolism,decrease,Fentanyl,Nateglinide
170401,170401,The metabolism,decrease,Etoposide,Nateglinide
170402,170402,The metabolism,decrease,Docetaxel,Nateglinide
170403,170403,The metabolism,decrease,Dasatinib,Nateglinide
170404,170404,The metabolism,decrease,Nateglinide,Itraconazole
170406,170406,The metabolism,decrease,Nateglinide,Gestodene
170410,170410,The metabolism,decrease,Atorvastatin,Nateglinide
170412,170412,The metabolism,decrease,Nateglinide,Dexfenfluramine
170416,170416,The metabolism,decrease,Meclizine,Nateglinide
170417,170417,The metabolism,decrease,Mesoridazine,Nateglinide
170418,170418,The metabolism,decrease,Encainide,Nateglinide
170419,170419,The metabolism,decrease,Aprindine,Nateglinide
170421,170421,The metabolism,decrease,Dextroamphetamine,Nateglinide
170422,170422,The metabolism,decrease,Debrisoquine,Nateglinide
170431,170431,The metabolism,decrease,Dolasetron,Nateglinide
170432,170432,The metabolism,decrease,Mequitazine,Nateglinide
170435,170435,The metabolism,decrease,Ethylmorphine,Nateglinide
170442,170442,The metabolism,decrease,Mianserin,Nateglinide
170447,170447,The metabolism,decrease,Flecainide,Nateglinide
170448,170448,The metabolism,decrease,Nateglinide,Amiodarone
170450,170450,The metabolism,increase,Enzalutamide,Nateglinide
170452,170452,The metabolism,decrease,Isoniazid,Nateglinide
170455,170455,The metabolism,decrease,Nateglinide,Clopidogrel
170456,170456,The metabolism,decrease,Nateglinide,Ethanol
170457,170457,The metabolism,decrease,Nateglinide,Metronidazole
170458,170458,The metabolism,decrease,Nateglinide,Glyburide
170459,170459,The metabolism,decrease,Nateglinide,Fenofibrate
170461,170461,The metabolism,decrease,Nateglinide,Fluvastatin
170462,170462,The metabolism,decrease,Nateglinide,Leflunomide
170463,170463,The metabolism,decrease,Nateglinide,Atovaquone
170464,170464,The metabolism,decrease,Nateglinide,Bicalutamide
170465,170465,The metabolism,decrease,Nateglinide,Cyclizine
170472,170472,The metabolism,decrease,Nateglinide,Agomelatine
170476,170476,The metabolism,decrease,Nateglinide,Ceritinib
170477,170477,The metabolism,decrease,Nateglinide,Lenvatinib
170478,170478,The metabolism,decrease,Nateglinide,Lobeglitazone
170490,170490,The metabolism,decrease,Melatonin,Nateglinide
170492,170492,The metabolism,decrease,Idarubicin,Nateglinide
170502,170502,The metabolism,decrease,Donepezil,Nateglinide
170503,170503,The metabolism,decrease,Alosetron,Nateglinide
170504,170504,The metabolism,decrease,Methoxyflurane,Nateglinide
170505,170505,The metabolism,decrease,Irbesartan,Nateglinide
170508,170508,The metabolism,decrease,Halothane,Nateglinide
170510,170510,The metabolism,decrease,Flunitrazepam,Nateglinide
170518,170518,The metabolism,decrease,Netupitant,Nateglinide
170524,170524,The metabolism,decrease,Nateglinide,Capecitabine
170527,170527,The metabolism,decrease,Acenocoumarol,Nateglinide
170529,170529,The metabolism,decrease,Fosphenytoin,Nateglinide
170532,170532,The metabolism,decrease,Nateglinide,Diflunisal
170534,170534,The metabolism,decrease,Nateglinide,Eltrombopag
170539,170539,The risk or severity of hypoglycemia,increase,Nateglinide,Glipizide
170540,170540,The risk or severity of hypoglycemia,increase,Nateglinide,Gliclazide
170547,170547,The risk or severity of hypoglycemia,increase,Nateglinide,Alogliptin
170549,170549,The risk or severity of hypoglycemia,increase,Nateglinide,Linagliptin
170552,170552,The risk or severity of hypoglycemia,increase,Methsuximide,Nateglinide
170553,170553,The risk or severity of hypoglycemia,increase,Nateglinide,Clevidipine
170557,170557,The risk or severity of hypoglycemia,increase,Nateglinide,Flunarizine
170559,170559,The risk or severity of hypoglycemia,increase,Nateglinide,Loperamide
170570,170570,The risk or severity of hypoglycemia,increase,Aranidipine,Nateglinide
170571,170571,The risk or severity of hypoglycemia,increase,Azelnidipine,Nateglinide
170572,170572,The risk or severity of hypoglycemia,increase,Cilnidipine,Nateglinide
170581,170581,The metabolism,increase,Nateglinide,Apremilast
170588,170588,The therapeutic efficacy,increase,Carvedilol,Nateglinide
170589,170589,The therapeutic efficacy,increase,Nebivolol,Nateglinide
170590,170590,The therapeutic efficacy,increase,Nateglinide,Acebutolol
170592,170592,The therapeutic efficacy,increase,Alprenolol,Nateglinide
170595,170595,The therapeutic efficacy,increase,Celiprolol,Nateglinide
170601,170601,The therapeutic efficacy,increase,Nateglinide,Hydroxychloroquine
170603,170603,The metabolism,decrease,Dronedarone,Nateglinide
170604,170604,The risk or severity of hyperglycemia,increase,Hydrocortisone,Nateglinide
170607,170607,The risk or severity of hyperglycemia,increase,Methylprednisolone,Nateglinide
170618,170618,The risk or severity of hyperglycemia,increase,Budesonide,Nateglinide
170619,170619,The risk or severity of hyperglycemia,increase,Dexamethasone,Nateglinide
170644,170644,The metabolism,decrease,Nateglinide,Azelastine
170645,170645,The metabolism,decrease,Bepridil,Nateglinide
170647,170647,The metabolism,decrease,Nateglinide,Biperiden
170649,170649,The metabolism,decrease,Nateglinide,Cocaine
170650,170650,The metabolism,decrease,Nateglinide,Hydroxyurea
170651,170651,The metabolism,decrease,Nateglinide,Diphenhydramine
170652,170652,The metabolism,decrease,Nateglinide,Chlorpheniramine
170653,170653,The metabolism,decrease,Nateglinide,Moclobemide
170654,170654,The metabolism,decrease,Nateglinide,Metoclopramide
170661,170661,The metabolism,decrease,Nateglinide,Artenimol
170663,170663,The metabolism,decrease,Felodipine,Nateglinide
170666,170666,The metabolism,decrease,Nateglinide,Methimazole
170667,170667,The metabolism,decrease,Nateglinide,Doxorubicin
170668,170668,The metabolism,decrease,Nateglinide,Everolimus
170674,170674,The metabolism,decrease,Doxepin,Nateglinide
171245,171245,The serum concentration,increase,Cilostazol,Esomeprazole
171246,171246,The serum concentration,decrease,Esomeprazole,Dabrafenib
171250,171250,a decrease in the absorption resulting in a reduced serum concentration and potentially a decrease in efficacy,cause,Esomeprazole,Dasatinib
171251,171251,an increase in the absorption resulting in an increased serum concentration and potentially a worsening of adverse effects,cause,Esomeprazole,Dextroamphetamine
